date,availability,avg_alloc_mem,node_total,avg_cpus_load_lower,nodes,avg_cpus_load_upper,avg_free_mem_lower,avg_free_mem_upper,avg_job_size_lower,avg_job_size_upper,avg_memory,node_alloc,node_idle,avg_time_limit,cores,cpus,node_other
1674842700,1.0,85906.90909090909,1374.0,47.85909090909092,1374.0,95.16545454545457,200255.27272727274,232151.0,200.0,700.0,240000.0,1307.0,67.0,129600.0,16.0,256.0,0.0
1674843000,1.0,85906.90909090909,1374.0,47.85909090909092,1374.0,95.16545454545457,200255.27272727274,232151.0,200.0,700.0,240000.0,1307.0,67.0,129600.0,16.0,256.0,0.0
1674843300,1.0,85906.90909090909,1374.0,46.4,1374.0,96.59272727272727,200599.0,231046.0909090909,200.0,700.0,240000.0,1289.0,85.0,129600.0,16.0,256.0,0.0
1674843600,1.0,85906.90909090909,1374.0,46.4,1374.0,96.59272727272727,200599.0,231046.0909090909,200.0,700.0,240000.0,1289.0,85.0,129600.0,16.0,256.0,0.0
1674843900,1.0,85906.90909090909,1374.0,46.43,1374.0,95.57818181818183,200989.45454545456,230871.9090909091,200.0,700.0,240000.0,1274.0,100.0,129600.0,16.0,256.0,0.0
1674844200,1.0,85906.90909090909,1374.0,46.43,1374.0,95.57818181818183,200989.45454545456,230871.9090909091,200.0,700.0,240000.0,1274.0,100.0,129600.0,16.0,256.0,0.0
1674844500,1.0,89712.33333333333,1374.0,50.27333333333333,1374.0,96.98083333333335,200911.0,231716.0,200.0,700.0,240000.0,1273.0,101.0,129600.0,16.0,256.0,0.0
1674844800,1.0,89712.33333333333,1374.0,50.27333333333333,1374.0,96.98083333333335,200911.0,231716.0,200.0,700.0,240000.0,1273.0,101.0,129600.0,16.0,256.0,0.0
1674845100,1.0,89712.33333333333,1374.0,53.251666666666665,1374.0,99.20583333333336,200108.25,231671.25,200.0,700.0,240000.0,1253.0,121.0,129600.0,16.0,256.0,0.0
1674845400,1.0,89712.33333333333,1374.0,53.251666666666665,1374.0,99.20583333333336,200108.25,231671.25,200.0,700.0,240000.0,1253.0,121.0,129600.0,16.0,256.0,0.0
1674845700,1.0,89712.33333333333,1374.0,51.855,1374.0,97.54833333333335,207949.91666666666,231662.75,200.0,700.0,240000.0,1250.0,124.0,129600.0,16.0,256.0,0.0
1674846000,1.0,89712.33333333333,1374.0,51.855,1374.0,97.54833333333335,207949.91666666666,231662.75,200.0,700.0,240000.0,1250.0,124.0,129600.0,16.0,256.0,0.0
1674846300,1.0,89712.33333333333,1374.0,55.19916666666668,1374.0,100.11500000000001,201439.41666666666,225745.08333333334,200.0,700.0,240000.0,1246.0,128.0,129600.0,16.0,256.0,0.0
1674846600,1.0,89712.33333333333,1374.0,55.19916666666668,1374.0,100.11500000000001,201439.41666666666,225745.08333333334,200.0,700.0,240000.0,1246.0,128.0,129600.0,16.0,256.0,0.0
1674846900,1.0,89712.33333333333,1374.0,53.33916666666667,1374.0,99.59749999999998,201362.91666666666,225825.16666666666,200.0,700.0,240000.0,1245.0,129.0,129600.0,16.0,256.0,0.0
1674847200,1.0,89712.33333333333,1374.0,53.33916666666667,1374.0,99.59749999999998,201362.91666666666,225825.16666666666,200.0,700.0,240000.0,1245.0,129.0,129600.0,16.0,256.0,0.0
1674847500,1.0,89712.33333333333,1374.0,53.07083333333333,1374.0,96.90249999999999,203234.5,225824.16666666666,200.0,700.0,240000.0,1239.0,135.0,129600.0,16.0,256.0,0.0
1674847800,1.0,89712.33333333333,1374.0,53.07083333333333,1374.0,96.90249999999999,203234.5,225824.16666666666,200.0,700.0,240000.0,1239.0,135.0,129600.0,16.0,256.0,0.0
1674848100,1.0,89712.33333333333,1374.0,52.843333333333334,1374.0,99.97583333333334,198379.58333333334,229249.58333333334,200.0,700.0,240000.0,1234.0,140.0,129600.0,16.0,256.0,0.0
1674848400,1.0,89712.33333333333,1374.0,52.843333333333334,1374.0,99.97583333333334,198379.58333333334,229249.58333333334,200.0,700.0,240000.0,1234.0,140.0,129600.0,16.0,256.0,0.0
1674848700,1.0,89712.33333333333,1373.0,54.099999999999994,1373.0,100.15249999999999,206278.08333333334,229264.91666666666,200.0,700.0,240000.0,1237.0,136.0,129600.0,16.0,256.0,0.0
1674849000,1.0,89712.33333333333,1373.0,54.099999999999994,1373.0,100.15249999999999,206278.08333333334,229264.91666666666,200.0,700.0,240000.0,1237.0,136.0,129600.0,16.0,256.0,0.0
1674849300,1.0,89712.33333333333,1374.0,59.09583333333333,1374.0,94.11166666666668,204444.5,229164.08333333334,200.0,700.0,240000.0,1287.0,87.0,129600.0,16.0,256.0,0.0
1674849600,1.0,89712.33333333333,1374.0,59.09583333333333,1374.0,94.11166666666668,204444.5,229164.08333333334,200.0,700.0,240000.0,1287.0,87.0,129600.0,16.0,256.0,0.0
1674849900,1.0,89712.33333333333,1373.0,53.30583333333333,1373.0,95.75583333333334,202895.0,230471.16666666666,200.0,700.0,240000.0,1258.0,115.0,129600.0,16.0,256.0,0.0
1674850200,1.0,89712.33333333333,1373.0,53.30583333333333,1373.0,95.75583333333334,202895.0,230471.16666666666,200.0,700.0,240000.0,1258.0,115.0,129600.0,16.0,256.0,0.0
1674850500,1.0,89712.33333333333,1374.0,57.69583333333333,1374.0,99.90750000000001,202005.16666666666,228828.41666666666,200.0,700.0,240000.0,1246.0,128.0,129600.0,16.0,256.0,0.0
1674850800,1.0,89712.33333333333,1374.0,57.69583333333333,1374.0,99.90750000000001,202005.16666666666,228828.41666666666,200.0,700.0,240000.0,1246.0,128.0,129600.0,16.0,256.0,0.0
1674851100,1.0,97636.36363636363,1374.0,57.193636363636365,1374.0,108.09454545454547,198945.36363636365,232392.72727272726,200.0,700.0,240000.0,1177.0,197.0,129600.0,16.0,256.0,0.0
1674851400,1.0,97636.36363636363,1374.0,57.193636363636365,1374.0,108.09454545454547,198945.36363636365,232392.72727272726,200.0,700.0,240000.0,1177.0,197.0,129600.0,16.0,256.0,0.0
1674851700,1.0,97636.36363636363,1374.0,59.96545454545455,1374.0,107.86545454545454,198043.27272727274,233201.63636363635,200.0,700.0,240000.0,1168.0,206.0,129600.0,16.0,256.0,0.0
1674852000,1.0,97636.36363636363,1374.0,59.96545454545455,1374.0,107.86545454545454,198043.27272727274,233201.63636363635,200.0,700.0,240000.0,1168.0,206.0,129600.0,16.0,256.0,0.0
1674852300,1.0,97636.36363636363,1374.0,57.33272727272727,1374.0,107.93363636363634,205495.18181818182,232418.27272727274,200.0,700.0,240000.0,1163.0,211.0,129600.0,16.0,256.0,0.0
1674852600,1.0,97636.36363636363,1374.0,57.33272727272727,1374.0,107.93363636363634,205495.18181818182,232418.27272727274,200.0,700.0,240000.0,1163.0,211.0,129600.0,16.0,256.0,0.0
1674852900,1.0,97636.36363636363,1374.0,57.16727272727272,1374.0,106.65818181818182,207560.45454545456,232636.9090909091,200.0,700.0,240000.0,1156.0,218.0,129600.0,16.0,256.0,0.0
1674853200,1.0,97636.36363636363,1374.0,57.16727272727272,1374.0,106.65818181818182,207560.45454545456,232636.9090909091,200.0,700.0,240000.0,1156.0,218.0,129600.0,16.0,256.0,0.0
